key,value
mySpace.mission.turnsProgress,{{current}}/{{max}} lượt
mySpace.mission.emptyDailyTitle,Chưa có nhiệm vụ hàng ngày
mySpace.mission.emptyDailyDescription,Hãy quay lại sau để nhận nhiệm vụ mới.
mySpace.mission.emptyStreakTitle,Chưa có nhiệm vụ chuỗi
mySpace.mission.emptyStreakDescription,Nhiệm vụ chuỗi sẽ xuất hiện tại đây.
mySpace.mission.emptyAchievementTitle,Chưa có thành tựu
mySpace.mission.emptyAchievementDescription,Thành tựu sẽ xuất hiện tại đây.
mySpace.walletTitle,Sao của tôi
mySpace.buyStar,Mua sao
mySpace.walletStatus.recharge,Nạp sao
mySpace.tx.dailyCheckInReward,Phần thưởng điểm danh hằng ngày
mySpace.tx.dailyLogin,Đăng nhập hằng ngày
mySpace.tx.giftSent,Đã gửi quà
mySpace.tx.giftDonation,Tặng quà chiến dịch
mySpace.tx.itemPurchase,Mua vật phẩm
mySpace.tx.topupPurchase,Mua gói sao
mySpace.events.chill,Chill cùng bạn bè
mySpace.events.study,Buổi học nhóm
mySpace.time.sixPm,18:00
mySpace.time.eightPm,20:00
mySpace.mySpacesTitle,Không gian của tôi
mySpace.mySpacesHeading,KHÔNG GIAN CỦA TÔI
mySpace.editSpace,Chỉnh sửa không gian
mySpace.createNewSpace,Tạo không gian mới
mySpace.categories.furniture,Nội thất
mySpace.categories.wallpaper,Giấy dán tường
mySpace.categories.floor,Sàn
mySpace.categories.objects,Đồ trang trí
mySpace.decor.piano,Piano
mySpace.decor.potBlue,Cây cảnh
mySpace.decor.potPink,Cây cảnh
mySpace.decor.mic,Micro
mySpace.decor.guitar,Guitar
mySpace.decor.guitarLeft,Guitar trái
mySpace.decor.guitarRight,Guitar phải
mySpace.decor.speaker,Loa
mySpace.decor.speakerLeft,Loa trái
mySpace.decor.speakerRight,Loa phải
mySpace.decor.sofa,Sofa
mySpace.decor.desk,Bàn làm việc
mySpace.decor.lamp,Đèn
mySpace.decor.bed,Giường
mySpace.decor.chair,Ghế
mySpace.decor.rug,Thảm
mySpace.decor.poster,Poster
mySpace.decor.posterLeft,Poster trái
mySpace.decor.posterRight,Poster phải
mySpace.decor.stage,Sân khấu
mySpace.decor.theme,Chủ đề
mySpace.studio.newSpace,+Mới
mySpace.studio.newSpaceA11y,Tạo không gian mới
mySpace.studio.defaultBadge,MẶC ĐỊNH
mySpace.studio.itemsPlaced,Đã trang trí: 
mySpace.studio.lastUpdated,Cập nhật lần cuối: 
mySpace.studio.hoursAgo,{{count}} giờ trước
mySpace.studio.levelShort,Cấp {{level}}
mySpace.studio.addDecorA11y,Thêm đồ trang trí
mySpace.studio.carouselPrevA11y,Mục trước
mySpace.studio.carouselNextA11y,Mục tiếp theo
mySpace.studio.emptyFollowing,Theo dõi một fandom để mở không gian studio của bạn.
mySpace.studio.followFandomCta,Khám phá fandom
mySpace.studio.followFandomCtaA11y,Mở tìm kiếm fandom để theo dõi thần tượng
mySpace.studio.basketEmpty,Chưa có vật phẩm cho danh mục này.
mySpace.studio.basketCategoryLocked,Mở khóa vị trí trang trí để xem vật phẩm.
mySpace.studio.unlockItem,Mở khóa vật phẩm
mySpace.studio.unlockItemA11y,Xem vật phẩm để mở khóa vị trí này
mySpace.studio.purchaseItem,Mua
mySpace.studio.purchaseItemA11y,Mua vật phẩm
mySpace.studio.notReceived,Chưa nhận
mySpace.studio.itemCount,{{count}} vật phẩm
mySpace.studio.allChipLabel,Tất cả ({{count}})
mySpace.studio.insufficientStarsAfterRecharge,Bạn vẫn chưa đủ Sao để mua vật phẩm này. Hãy mua thêm Sao và thử lại.
mySpace.spaces.studioOrange,Studio của tôi — cam
mySpace.spaces.studioBlue,Studio của tôi — xanh dương
mySpace.spaces.studioPurple,Studio của tôi — tím
camera.camera_permission_qr,Cho phép truy cập camera để quét mã QR
camera.scan_device_qr,Quét mã QR trên vật phẩm của bạn
camera.no_camera_available,Thiết bị này không có camera
qrScan.flashOnA11y,Tắt đèn flash
qrScan.flashOffA11y,Bật đèn flash
qrScan.enterCode,Nhập mã
qrScan.enterCodePlaceholder,Mã
qrScan.enterCodeSubmit,Gửi
qrScan.photo,Ảnh
qrScan.errors.noQrInImage,Không tìm thấy mã QR trong ảnh.
inventory.title,Kho vật phẩm
inventory.buyMore,Mua thêm
inventory.scannerA11y,Quét mã QR vật phẩm
inventory.itemMoreA11y,Tùy chọn vật phẩm
inventory.tabs.ecard,E-Card
inventory.tabs.items,Vật phẩm
inventory.tabs.gifts,Quà tặng
inventory.gifts.send,Tặng quà
inventory.gifts.sendTitle,Tặng quà
inventory.gifts.balance,Số dư trong kho: {{count}}
inventory.gifts.chooseIdol,Chọn thần tượng để tặng
inventory.gifts.empty,Chưa có quà
inventory.gifts.noIdols,Hãy theo dõi thần tượng để tặng quà
inventory.gifts.unavailable,Quà này không còn trong kho
inventory.gifts.fppThisMonth,{{count}} {{unit}} tháng này
inventory.items.empty,Chưa có vật phẩm
inventory.frames.sectionTitle,Khung ảnh đại diện
inventory.frames.use,Sử dụng
inventory.frames.inUse,Đang dùng
inventory.frames.empty,Chưa có khung
inventory.itemHistory.title,Lịch sử vật phẩm
inventory.itemHistory.a11y,Xem lịch sử vật phẩm
inventory.itemHistory.thisWeek,Tuần này
inventory.itemHistory.thisMonth,Tháng này
inventory.itemHistory.custom,Tùy chọn
inventory.itemHistory.empty,Chưa có lịch sử vật phẩm
inventory.itemHistory.quantity,+{{count}}
inventory.itemHistory.cost,-{{count}} thẻ {{rarity}}
inventory.itemHistory.filters.purchase,Mua
inventory.itemHistory.filters.rankUp,Lên cấp
inventory.itemHistory.filters.qrScan,Quét mã
inventory.itemHistory.filters.merge,Gộp thẻ
inventory.itemHistory.subtitle.purchase,Mua từ cửa hàng
inventory.itemHistory.subtitle.rankUp,Nhận khi lên cấp
inventory.itemHistory.subtitle.qrScan,Quét mã
inventory.itemHistory.subtitle.merge,Nhận ngẫu nhiên từ gộp thẻ
inventory.itemHistory.badge.purchase,Mua
inventory.itemHistory.badge.rankUp,Quà lên cấp
inventory.itemHistory.badge.qrScan,Quét mã
inventory.itemHistory.badge.merge,Gộp thẻ
inventory.itemHistory.detail.title,Chi tiết giao dịch
inventory.itemHistory.detail.transactionCode,Mã giao dịch
inventory.itemHistory.detail.time,Thời gian
inventory.itemHistory.detail.method.label,Phương thức
inventory.itemHistory.detail.method.momo,Ví điện tử MoMo
inventory.itemHistory.detail.method.stars,Sao
inventory.itemHistory.detail.quantity,Số lượng
inventory.itemHistory.detail.quantityValue,{{count}} thẻ {{rarity}}
inventory.itemHistory.detail.quantityValue_other,{{count}} thẻ {{rarity}}
inventory.itemHistory.detail.total,Thành tiền
inventory.itemHistory.detail.statusSuccess,Giao dịch thành công
inventory.itemHistory.detail.statusFailed,Giao dịch thất bại
inventory.itemHistory.detail.viewInInventory,Xem thẻ trong kho
inventory.itemHistory.detail.report,Báo lỗi giao dịch
rewards.levelUpTitle,Chúc mừng lên {{levelName}}
rewards.fromToLevel,Từ cấp {{from}} lên cấp {{to}}
rewards.missionCompleteTitle,Hoàn thành nhiệm vụ!
rewards.missionCompleteSubtitle,Bạn đã hoàn thành {{missionName}}
rewards.receivedCount,Bạn nhận được {{count}} phần quà
rewards.goToInventory,Đến kho vật phẩm
rewards.merchClaimTitle,Bạn đã nhận vật phẩm!
rewards.merchClaimSubtitle,{{merchName}}
rewards.monthlyRanking.fanPointsSubtitle,Điểm hâm mộ thần tượng {{idolName}}
rewards.monthlyRanking.youRanked,Bạn đạt hạng
rewards.monthlyRanking.rewardsReceived,Phần thưởng đã nhận
rewards.monthlyRanking.addedToInventory,Đã tự động thêm vào Kho
rewards.monthlyRanking.fppReset,Điểm FXP tháng {{endedMonth}} đã về 0. BXH tháng {{nextMonth}} bắt đầu từ hôm nay
rewards.monthlyRanking.keepGoing,"Bạn đã làm rất tốt, cứ tiếp tục như vậy nhé!"
rewards.monthlyRanking.viewInInventory,Xem quà trong kho
rewards.monthlyRanking.viewLeaderboard,Xem bảng xếp hạng
paywall.collectionTitle,Bộ sưu tập
paywall.collectionScannerTitle,Quét QR
paywall.collectionScannerA11y,Quét mã QR bộ sưu tập
paywall.collectionA11y,Mở bộ sưu tập
paywall.transactionHistoryTitle,Lịch sử giao dịch
paywall.transactionHistoryA11y,Xem lịch sử giao dịch
paywall.transactionHistory.empty,Chưa có giao dịch nào
paywall.transactionHistory.spentInMonth,Đã chi trong {{month}}
paywall.transactionHistory.filters.ecard,E-Card
paywall.transactionHistory.filters.sticker,Sticker
paywall.transactionHistory.filters.items,Vật phẩm
paywall.transactionHistory.filters.topUp,Nạp sao
paywall.tx.earnMission,Phần thưởng nhiệm vụ
paywall.tx.recharge,Nạp sao
paywall.starPacks.title,Gói sao
paywall.starBalanceStats.currentBalance,Số dư sao
paywall.starBalanceStats.discBalance,Thẻ sở hữu
paywall.starBalanceStats.buyStar,Mua thêm sao
paywall.starBalanceStats.buyDisc,Tìm thêm thẻ
paywall.merchSectionTitle.collection,Bộ sưu tập
paywall.merchSectionTitle.featuredMerch,Ưu đãi nổi bật
paywall.merchSectionTitle.merch,Kho thẻ
paywall.merchGallery.empty,Quét mã QR trên vật phẩm để thêm vào đây.
paywall.scanner.errors.invalid,Mã QR không hợp lệ hoặc đã hết hạn.
paywall.scanner.errors.claimedByOther,Mã này đã được fan khác sưu tầm.
paywall.scanner.errors.generic,Đã xảy ra lỗi. Vui lòng thử lại.
paywall.scanner.errors.previewUnavailable,Không tải được thông tin vật phẩm. Vui lòng thử lại.
paywall.bottomSheet.continue,Tiếp tục
paywall.bottomSheet.rechargeStars.title,Nạp sao
paywall.bottomSheet.rechargeStars.description,Nạp thêm sao để mở khóa đồ trang trí và vật phẩm sưu tầm.
paywall.bottomSheet.unlockDecor.title,Mở khóa vật phẩm
paywall.bottomSheet.unlockDecor.description,Nạp sao để mở khóa đồ trang trí độc quyền cho Không gian của tôi.
paywall.bottomSheet.confirmStarPurchase.title,Xác nhận mua
paywall.bottomSheet.confirmStarPurchase.description,Dùng Sao để mở khóa vật phẩm này.
paywall.bottomSheet.confirmStarPurchase.costLabel,Giá
paywall.bottomSheet.confirmStarPurchase.confirm,Xác nhận
paywall.merch.addToCollection,Thêm vào bộ sưu tập
paywall.merch.exclusiveEmpty,Chưa có nội dung độc quyền
paywall.merch.viewExclusive,Xem
paywall.merch.unlockExclusiveA11y,Mở khóa nội dung độc quyền với {{starCost}} sao
paywall.merch.viewExclusiveA11y,Xem nội dung độc quyền
paywall.merch.unlockFailed,Không thể mở khóa nội dung. Vui lòng thử lại.
paywall.merch.category.cornerCard,CARD BO GÓC
paywall.merch.category.album,ALBUM
paywall.avatarFrame.sectionTitle,Khung ảnh đại diện
paywall.avatarFrame.filters.owned,Đã sở hữu
paywall.avatarFrame.filters.notOwned,Chưa sở hữu
paywall.avatarFrame.receive,Nhận
paywall.avatarFrame.doMission,Nhiệm vụ
paywall.avatarFrame.owned,Đã sở hữu
paywall.avatarFrame.moreA11y,Mở tùy chọn khung
paywall.avatarFrame.optionsTitle,Tùy chọn
paywall.avatarFrame.configureLabel,Đặt làm khung ảnh đại diện
paywall.avatarFrame.configureAction,Đặt
paywall.avatarFrame.hideLabel,Gỡ khỏi bộ sưu tập
paywall.avatarFrame.hideAction,Ẩn
paywall.avatarFrame.doMissionTitle,Hoàn thành nhiệm vụ
paywall.avatarFrame.doMissionMessage,Hoàn thành nhiệm vụ liên quan để mở khóa khung này.
paywall.avatarFrame.selectTitle,Khung ảnh đại diện
paywall.avatarFrame.ownedSectionTitle,Khung đã sở hữu
paywall.avatarFrame.selectingStatus,Đang chọn
paywall.avatarFrame.useFrame,Đặt làm khung ảnh
paywall.avatarFrame.previewTitle,Xem trước
paywall.avatarFrame.previewBanner,Khung này sẽ hiển thị ở các mục này
paywall.avatarFrame.previewPersonalInfo,Hiển thị trong thông tin cá nhân
paywall.avatarFrame.previewFanList,Hiển thị trong Danh sách fan
paywall.avatarFrame.previewMySpace,Hiển thị trong Không gian của tôi
paywall.avatarFrame.previewGiftSample,Hoa hồng x5
paywall.avatarFrame.previewTimeSample,2 Phút
paywall.avatarFrame.previewLevelSample,Cấp 2
paywall.avatarFrame.finish,Hoàn tất
externalLink.invalidUrlTitle,Liên kết không hợp lệ
externalLink.invalidUrlMessage,Không thể mở liên kết này.
settings.hubTitle,Cài đặt
settings.sectionAccount,Tài khoản
settings.sectionNotifications,Thông báo
settings.sectionSupportLegal,Hỗ trợ & Pháp lý
settings.sectionLogout,Đăng xuất
settings.profile,Thông tin cá nhân
settings.profileSubtitle,Chi tiết thông tin cá nhân
settings.profileChangeName,Đổi tên
settings.profileChangeDisplayName,Đổi
settings.displayNameLabel,Tên hiển thị
settings.displayNameSaved,Đã cập nhật tên hiển thị
settings.profileAddPhone,Thêm số
settings.profileChangePhone,Thay đổi
settings.avatar,Ảnh đại diện
settings.avatarSourceRequirements,"JPG, PNG · Tối đa 5MB · Tối thiểu 200×200px"
settings.avatarCropTitle,Chỉnh ảnh
settings.avatarCropHint,Chụm và kéo để căn chỉnh ảnh
settings.avatarCropNote,Ảnh sẽ được cắt tự động theo tỷ lệ 1x1. Điều chỉnh vùng ảnh ở bước tiếp theo.
settings.avatarRotateLeft,Xoay trái
settings.avatarRotateRight,Xoay phải
settings.avatarTooLarge,Ảnh tối đa 5MB (JPG hoặc PNG).
settings.avatarTooSmall,Ảnh tối thiểu 200×200 px (JPG hoặc PNG).
settings.avatarInvalidType,Chỉ hỗ trợ ảnh JPG hoặc PNG.
settings.avatarUploadFailed,Không cập nhật được ảnh. Vui lòng thử lại.
settings.changeUsername,Tên tài khoản
settings.changeUsernameBannerTitle,"Sau khi đổi, tên tài khoản cũ sẽ bị khóa trong 6 tháng!"
settings.changeUsernameBannerSubtitle,Bạn có thể đổi tên tài khoản mỗi 30 ngày
settings.changeUsernameSubtitle,Tối đa {{max}} lần đổi
settings.changeUsernameSubtitleRemaining,Còn {{remaining}}/{{max}} lần đổi
settings.socialLinking,Liên kết mạng xã hội
settings.socialLinkingSubtitleLinked,{{providers}} đã liên kết
settings.socialLinkingSubtitleNone,Chưa liên kết mạng xã hội
settings.transactions,Lịch sử vật phẩm
settings.transactionsSubtitle,Xem lịch sử vật phẩm của bạn
settings.blockedUser,Người dùng bị chặn
settings.blockedUserTitle,Danh sách chặn
settings.blockedUserSubtitle,Các tài khoản bạn đã chặn trong Phòng tám.
settings.blockedOn,chặn ngày {{date}}
settings.unblock,Bỏ chặn
settings.blockedUsersEmpty,Bạn chưa chặn ai.
settings.unblockFailed,Không bỏ chặn được người dùng này. Vui lòng thử lại.
settings.addPhone,Số điện thoại
settings.addPhoneSubtitleNone,Chưa thêm số điện thoại
settings.addPhoneSubtitleLinked,{{phone}}
settings.notificationSettings,Thông báo
settings.notificationSettingsSubtitle,Tùy chỉnh từng loại thông báo
settings.notificationSettingsBanner,Cài đặt được lưu tự động. Bạn có thể tắt toàn bộ thông báo trừ thông báo hệ thống bảo mật.
settings.helpCenter,Trung tâm hỗ trợ
settings.terms,Điều khoản sử dụng
settings.privacyPolicy,Chính sách bảo mật
settings.companyInfo,Thông tin công ty
settings.logout,Đăng xuất
settings.logoutConfirmTitle,Đăng xuất?
settings.logoutConfirmBody,Bạn sẽ cần đăng nhập lại.
settings.logoutConfirm,Đăng xuất
settings.deleteAccount,Xóa tài khoản
settings.deleteAccountConfirmTitle,Xóa tài khoản?
settings.deleteAccountConfirmBody,"Hồ sơ, tiến trình và nội dung đã lưu của bạn sẽ bị xóa vĩnh viễn. Bạn có thể đăng nhập lại để tạo tài khoản mới, nhưng dữ liệu cũ sẽ không được khôi phục."
settings.deleteAccountConfirm,Xóa tài khoản
settings.deleteAccountFailed,Không thể xóa tài khoản. Vui lòng thử lại.
settings.cancel,Hủy
settings.backA11y,Quay lại
settings.urlMissing,Trang này chưa khả dụng.
settings.appVersion,Phiên bản {{version}}.{{build}}
settings.saveUsername,Lưu
settings.usernameLabel,Tên tài khoản
settings.usernameNewLabel,Tên tài khoản mới
settings.usernameSaved,Đã cập nhật tên tài khoản
settings.usernameCaseChangeTitle,Đổi chữ hoa/thường?
settings.usernameCaseChangeBody,Chỉ đổi chữ hoa/thường vẫn tính là 1 lần đổi tên tài khoản.
settings.socialGoogleReadonly,Google (email đăng nhập)
settings.socialSaved,Đã cập nhật mạng xã hội
settings.phoneSaved,Đã cập nhật số điện thoại
settings.sendOtp,Gửi mã
settings.verifyOtp,Xác minh
settings.phoneLabel,Số điện thoại
settings.phoneCurrentLabel,Số điện thoại hiện tại
settings.phoneNewLabel,Số điện thoại mới
settings.otpLabel,Mã xác minh
settings.resendOtp,Gửi lại mã
settings.resendIn,Gửi lại sau {{seconds}}s
settings.otpLocked,Quá nhiều lần thử. Thử lại sau 15 phút.
settings.phoneInUse,Số này đã được sử dụng
settings.linkProvider,Liên kết
settings.unlinkProvider,Hủy liên kết
settings.linked,Đã liên kết
settings.notLinked,Chưa liên kết
settings.unlinkConfirmTitle,Hủy liên kết {{provider}}?
settings.unlinkConfirmBody,Bạn có thể liên kết lại sau.
settings.unlinkConfirm,Hủy liên kết
settings.notifications.all_off_title,Tắt tất cả thông báo
settings.notifications.all_off_subtitle,Trừ hệ thống bảo mật và tài khoản.
settings.notifications.title,Thông báo
settings.notifications.push,Push
settings.notifications.inApp,In-app
settings.notifications.categories.new_idol_post,Bài đăng mới từ thần tượng
settings.notifications.categories.upcoming_event,Sự kiện sắp tới
settings.notifications.categories.game,Nhắc game / hạng
settings.notifications.categories.letter,Thư fan được tim
settings.notifications.categories.digital_campaign,Cập nhật chiến dịch fan
settings.notifications.categories.gift,Nhận quà
settings.notifications.categories.system,"Hệ thống (bảo mật, tài khoản)"
postComments.title,Tất cả bình luận
postComments.likeSummaryNamed,{{name}} và {{count}} người khác
postComments.likeSummaryCount,{{count}} người đã thả tim
postComments.reply,Trả lời
postComments.viewMoreReplies,Xem thêm {{count}} câu trả lời
postComments.hideReplies,Ẩn câu trả lời
postComments.replyingTo,Đang trả lời @{{name}}
postComments.empty,Chưa có bình luận. Hãy là người đầu tiên.
postComments.placeholder,Viết bình luận…
postComments.sendError,Không gửi được bình luận. Thử lại.
postComments.heartError,Không cập nhật được tim. Thử lại.
postComments.heartA11y,Thả tim bình luận
postComments.removeReactionA11y,Bỏ {{type}}
postComments.closeA11y,Đóng bình luận
postComments.stickerA11y,Sticker
postComments.keyboardA11y,Bàn phím
postComments.photoA11y,Thêm ảnh
postComments.sendA11y,Gửi
eventChat.title,Chat trực tiếp
eventChat.openCta,Chat trực tiếp
eventChat.composerPlaceholder,Viết tin nhắn…
eventChat.sendA11y,Gửi
eventChat.newMessages,Tin nhắn mới
eventChat.notStartedTitle,Chat chưa mở
eventChat.notStartedDescription,Hãy quay lại khi sự kiện bắt đầu.
eventChat.endedTitle,Chat đã kết thúc
eventChat.endedDescription,Sự kiện này đã kết thúc.
eventChat.emptyLiveTitle,Chưa có tin nhắn
eventChat.emptyLiveDescription,Hãy là người đầu tiên nhắn tin.
eventChat.tapToRetry,Nhấn để gửi lại
eventChat.retryA11y,Gửi lại tin nhắn
eventChat.status.sending,Đang gửi
eventChat.status.sent,Đã gửi
eventChat.status.failed,Không gửi được
eventChat.errors.sendFailed,Không gửi được tin nhắn. Vui lòng thử lại.
eventChat.errors.sendFailedDetail,Không gửi được tin nhắn ({{detail}}). Vui lòng thử lại.
eventChat.errors.deleteFailed,Không xóa được tin nhắn. Vui lòng thử lại.
eventChat.blocked.title,Không vào được phòng!
eventChat.blocked.description,Bạn bị cấm vào phòng sau khi vi phạm nội quy phòng chat!
eventChat.blocked.reasonLabel,Lý do
eventChat.blocked.untilLabel,Thời hạn phạt
eventChat.blocked.untilValue,Đến {{date}}
eventChat.optionsTitle,Tùy chọn
eventChat.openOptionsA11y,Tùy chọn tin nhắn
eventChat.copyMessage,Sao chép tin nhắn
eventChat.deleteMessage,Xóa tin nhắn
eventChat.deleteAction,Xóa
eventChat.deleteConfirmTitle,Xóa tin nhắn này?
eventChat.deleteConfirmMessage,Tin nhắn sẽ bị xóa với mọi người trong phòng chat này.
eventChat.reportMessage,Báo tin nhắn
eventChat.reportTitle,Báo cáo tin nhắn
eventChat.reportReasons.groupSpam,Spam tin nhắn trong phòng chat
eventChat.reportReasons.offensiveLanguage,Ngôn từ xúc phạm
eventChat.reportReasons.obsceneContent,Nội dung đồi trụy
eventChat.reportReasons.advertising,"Quảng cáo, bán hàng"
eventChat.reportReasons.adminImpersonation,Mạo danh quản trị viên
eventChat.reportReasons.exclusiveLeak,Rò rỉ nội dung độc quyền của thần tượng
eventChat.blockUser,Chặn người dùng
eventChat.reportAction,Báo cáo
eventChat.blockAction,Chặn
eventChat.copied,Đã sao chép tin nhắn
eventChat.copyUnavailable,Tin nhắn này không có nội dung để sao chép
eventChat.deleted,Đã xóa tin nhắn
eventChat.reportSuccess,Cảm ơn bạn đã báo cáo ({{reason}})
eventChat.blockConfirmTitle,Chặn {{name}}?
eventChat.blockConfirmMessage,"Tin nhắn của họ sẽ được ẩn trong phòng chat này, và thư fan của họ sẽ được ẩn khỏi bảng tin của bạn."
eventChat.blockSuccess,Đã chặn người dùng
eventChat.blockAlreadyBlocked,Bạn đã chặn người dùng này
